file_path,width,height,type,sex
stimuli/visual/social/male/CFD-WM-022-001-N.png,1200,1500,social,male
stimuli/visual/social/male/CFD-WM-223-056-N.png,1200,1500,social,male
stimuli/visual/social/male/CFD-WM-201-063-N.png,1200,1500,social,male
stimuli/visual/social/male/CFD-WM-204-031-N.png,1200,1500,social,male
stimuli/visual/social/female/CFD-WF-251-014-N.png,1200,1500,social,female
stimuli/visual/social/female/CFD-WF-216-079-N.png,1200,1500,social,female
stimuli/visual/social/female/CFD-WF-014-002-N.png,1200,1500,social,female
stimuli/visual/social/female/CFD-WF-006-002-N.png,1200,1500,social,female
stimuli/visual/nonsocial/geometrical_shapes/KI.6.4.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.2.1.png,640,640,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.2.3.png,640,660,geometric,geometric
stimuli/visual/nonsocial/geometrical_shapes/KI.2.2.png,640,640,geometric,geometric
stimuli/visual/nonsocial/manmade_objects/watch-4263351_640.png,640,212,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/samsung-older-phone-4776913_640.jpg,482,593,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/hat-2-1625676_640.png,551,265,manmade,manmade
stimuli/visual/nonsocial/manmade_objects/gift-box-3011438_1280.png,686,749,manmade,manmade
stimuli/visual/nonsocial/natural_objects/insect-butterfly-2-1852116_640.png,565,387,natural,natural
stimuli/visual/nonsocial/natural_objects/rock-2491928_1280.png,733,521,natural,natural
stimuli/visual/nonsocial/natural_objects/twig-leaves-1008521_640.png,527,640,natural,natural
stimuli/visual/nonsocial/natural_objects/vegetable-carrots-1083235_640.png,640,373,natural,natural
stimuli/visual/attention_grabbers/gold-coin.png,300,300,attention,attention
stimuli/visual/attention_grabbers/waterdrop.png,300,300,attention,attention
stimuli/visual/attention_grabbers/heart.jpg,442,442,attention,attention
stimuli/visual/attention_grabbers/cloud.png,300,300,attention,attention
stimuli/visual/attention_grabbers/ice.png,640,614,attention,attention
stimuli/visual/attention_grabbers/star.png,640,609,attention,attention
stimuli/visual/attention_grabbers/sun.png,300,300,attention,attention
stimuli/visual/attention_grabbers/rainbow.png,300,300,attention,attention
